incident_type,location,date,time,summary,disposition,interesting,month_year
Suspicious Person,Mesa Apartments Central,7/1/24,7:46 PM,Non-affiliate male inside laundry room playing loud music and making reporting party feel uncomfortable,Checks Ok,t,Jul-24
Suspicious Person,Black Apartments - Parking Lot,7/1/24,8:41 PM,Unhoused male blocking reporting party from getting out of her vehicle,Field Interview,f,Jul-24
Welfare Check,Mesa Apartments Central,7/1/24,10:21 PM,"Adult female with injured knee, possibly fell",Unable To Locate,f,Jul-24
Suspicious Person,Douglas Apartments,7/1/24,10:31 PM,Subject vaping,Will Cooperate,f,Jul-24
Suspicious Person,Trolley- La Jolla Health Station,7/1/24,10:39 PM,Non-affiliate male inside restroom,Checks Ok,t,Jul-24
Warrant Arrest/Drug Law Violation/Stay Away Order Issuance,"Miramar Street, Building 5",7/1/24,10:39 PM,Non-affiliate male contacted for rummaging,Closed By Adult Arrest,t,Jul-24
Medical Aid,Nobel Drive,7/2/24,12:13 AM,Juvenile having rapid heart beats due to energy drinks,Referred to Other Agency,t,Jul-24
Welfare Check,Capa,7/2/24,3:08 AM,Subject sleeping on the east side,Checks OK,f,Jul-24
Welfare Check,Justice Lane,7/2/24,3:42 AM,Driver asleep at the wheel,Checks OK,f,Jul-24
Hazard Situation,McGill Hall,7/2/24,3:52 PM,"2 subjects sitting down over the ledge talking, eating, and smoking",Checks OK,f,Jul-24
Citizen Assist,Muir Field,7/2/24,8:21 PM,Disabled vehicle on the south side of the field,Service Provided,f,Jul-24
Suspicious Vehicle,Athena Circle/ Athena Way,7/2/24,9:49 PM,Unoccupied Vehicle with damage to passenger side,Checks Ok,f,Jul-24
Noise Disturbance,Tierra,7/2/24,10:08 PM,Loud talking and laughing,Will Cooperate,f,Jul-24
Stay Away Order Issuance,Cala,7/3/24,1:56 AM,Non-affiliate male sleeping inside study room,Closed By Other Means,t,Jul-24
Suspicious Person,Warren Shuttle Stop,7/3/24,3:09 AM,Two males passed out on the sidewalk by the bus stop,Check OK,f,Jul-24
Restraining Order Violation,Jacobs Medical Center,7/3/24,6:30 AM,"Restrained party contacted reporting party indirectly via a 3rd party, in violation of current domestic violence restraining order, no threats",Report Taken,t,Jul-24
Property Damage,Brisa,7/3/24,9:08 AM,Window of UC Cart damaged by weedwhacker,Disposition Report Taken,f,Jul-24
Citizen Contact,UCSD Police Department,7/3/24,11:26 AM,"Questions regarding multiple person following reporting party near his home, off campus",Service Provided,t,Jul-24
Information,Humanities And Social Sciences On Scholars,7/3/24,8:00 AM,"Unhoused male inside building, requesting incident number only",Information Only,f,Jul-24
Information Report,Jacobs Medical Center,7/3/24,9:55 AM - 10:10 AM,"Reporting party is patient at location and states a social media follower showed up with cards and flowers, requesting documentation report only",Report Taken,t,Jul-24
Information,Bonner Hall,7/3/24,2:51 PM,Strong nail polish odor in office,Referred to Other UCSD Department,f,Jul-24
Traffic Hazard,Gilman Dr/ Interstate 5 Overpass Bridge,7/3/24,3:32 PM,"Metal Plate Covering construction hole moved, Caller believes may become a potential hazard",Referred to Other UCSD Department,t,Jul-24
Petty Theft- Micro Mobility Device,Cala - 1st Floor Lobby,7/3/24,4:32 PM,"Unsecured electric scooter stolen, loss unknown, no report desired",Information Only,f,Jul-24
Citizen Contact,Skaggs Pharmaceutical Sciences Building,7/3/24,Unknown,Caller reports being given a chocolate with mushrooms in it,Information Only,f,Jul-24
Suspicious Person,Trolley- Central Campus Station,7/3/24,5:31 PM,"Subject with face covered, is casing scooters in the area behind the restrooms",Field Interview,f,Jul-24
Illegal Dumping,Café Ventanas,7/3/24,7:03 PM,2 subjects were seen loading items from the donation box into an older model truck,Checks OK,f,Jul-24
Welfare Check,Cala,7/3/24,7:42 PM,Unaffiliated subject near the pool area talking to herself and asking passerby's for a cigarette,Field Interview,t,Jul-24
Petty Theft,Gilman Parking,7/3/24,8:04 PM,Victim's purse stolen from beside her as a group of people passed her inside stairwell,Gone On Arrival,f,Jul-24
Suspicious Person,Trolley- Central Campus Station,7/3/24,9:42 PM,Subjects got off the trolley and were going through the trash,Checks OK,f,Jul-24
Suspicious Person,Tamarack Apartments,7/3/24,10:06 PM,Unaffiliated subject going through the dumpsters in area,Field Interview,f,Jul-24
Citizen Assist,South Parking Structure On Biomedical Center Way,7/3/24,10:45 PM,Caller forgot where car was parked,Service Provided,f,Jul-24
General Disturbance,Scripps Memorial Hospital La Jolla,7/3/24,11:39 PM,Disturbance between Lyft driver and passenger,Referred to Other Agency,f,Jul-24
Welfare Check,Genesee Avenue,7/4/24,12:24 AM,Reporting party's daughter left the hospital 1 hour ago and isn't answering the phone,Referred to Other Agency,t,Jul-24
Vandalism,Miramar Street,7/4/24,9:39 AM,"Victim's mirror on vehicle damaged by unknown means, requesting incident number only",Service Provided,f,Jul-24
Suspicious Circumstances,One Miramar Street,7/4/24,Unknown,Unknown subjects wrote on reporting party's window,Report Taken,t,Jul-24
Security Alarm,Student Health and Wellness Center,7/4/24,10:02 AM,Accidentally set off by staff,False Alarm,f,Jul-24
Petty Theft - Micro Mobility Device,School of Medicine Building 1,7/4/24,6:00 AM - 1:00 PM,Secured electric scooter stolen; loss $350.00,Disposition Report Taken,f,Jul-24
General Disturbance,Porton,7/4/24,2:42 PM,Group of children throwing ball around in grill area,Checks Ok,f,Jul-24
Traffic Hazard,Interstate 5,7/4/24,2:51 PM,Ladders on freeway,Referred to Other Agency,f,Jul-24
Tow Request,Torrey Pines Glider port,7/4/24,3:48 PM,Reporting party's vehicle blocked in,Checks OK,f,Jul-24
Petty Theft - Bicycle,Jacobs Medical Center,7/4/24,4:00 PM,"Victim's bicycle stolen from back of building, amount of loss unknown",Hospital Security Incident Report Generated,t,Jul-24
Information,Campus Services Complex Pumps,7/5/24,12:50 AM,Lights are out at the pumps,Referred to Other UCSD Department,f,Jul-24
